college,draft_team,draft_year
Vanderbilt University,Golden State Warriors,2016
University of Louisville,Houston Rockets,2016
Iowa State University,Indiana Pacers,2016
University of Michigan,Indiana Pacers,2016
University of Kansas,Los Angeles Clippers,2016
University of North Carolina,Los Angeles Clippers,2016
Duke University,Los Angeles Lakers,2016
Vanderbilt University,Memphis Grizzlies,2016
"University of Nevada, Las Vegas",Milwaukee Bucks,2016
University of Virginia,Milwaukee Bucks,2016
Providence College,Minnesota Timberwolves,2016
University of Maryland,New Orleans Pelicans,2016
University of Oklahoma,New Orleans Pelicans,2016
Gonzaga University,Orlando Magic,2016
University of Maryland,Orlando Magic,2016
"University of Nevada, Las Vegas",Orlando Magic,2016
Louisiana State University,Philadelphia 76ers,2016
University of Kentucky,Phoenix Suns,2016
University of Kentucky,Phoenix Suns,2016
University of Washington,Sacramento Kings,2016
University of Washington,San Antonio Spurs,2016
New Mexico State University,Toronto Raptors,2016
University of Utah,Toronto Raptors,2016
Baylor University,Utah Jazz,2016
Seton Hall University,Utah Jazz,2016
University of California,Utah Jazz,2016
Weber State University,Utah Jazz,2016
